Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:06.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.77188E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.0940	-0.003375	-0.069642	 0.000000	 0.000000	 0.000000
 0.1010	-0.003818	-0.072326	 0.000000	 0.000000	 0.000000
 0.1079	-0.004278	-0.074877	 0.000000	 0.000000	 0.000000
 0.1149	-0.004752	-0.077079	 0.000000	 0.000000	 0.000000
 0.1219	-0.005239	-0.078935	 0.000000	 0.000000	 0.000000
 0.1288	-0.005737	-0.080449	 0.000000	 0.000000	 0.000000
 0.1358	-0.006243	-0.081626	 0.000000	 0.000000	 0.000000
 0.1399	-0.006544	-0.082164	 0.000000	 0.000000	 0.000000
 0.1497	-0.007271	-0.082988	 0.000000	 0.000000	 0.000000
 0.1567	-0.007790	-0.083183	 0.000000	 0.000000	 0.000000
 0.1636	-0.008309	-0.083065	 0.000000	 0.000000	 0.000000
 0.1706	-0.008826	-0.082638	 0.000000	 0.000000	 0.000000
 0.1776	-0.009339	-0.081912	 0.000000	 0.000000	 0.000000
 0.1845	-0.009848	-0.080893	 0.000000	 0.000000	 0.000000
 0.1915	-0.010348	-0.079592	 0.000000	 0.000000	 0.000000
 0.1985	-0.010840	-0.078016	 0.000000	 0.000000	 0.000000
 0.2054	-0.011321	-0.076030	 0.000000	 0.000000	 0.000000
 0.2124	-0.011789	-0.073750	 0.000000	 0.000000	 0.000000
 0.2194	-0.012241	-0.071182	 0.000000	 0.000000	 0.000000
 0.2263	-0.012676	-0.068334	 0.000000	 0.000000	 0.000000
 0.2333	-0.013093	-0.065211	 0.000000	 0.000000	 0.000000
 0.2403	-0.013490	-0.061823	 0.000000	 0.000000	 0.000000
 0.2472	-0.013864	-0.058177	 0.000000	 0.000000	 0.000000
 0.2507	-0.014043	-0.056260	 0.000000	 0.000000	 0.000000
 0.3203	-0.016090	-0.007132	 0.000000	 0.000000	 0.000000
 0.3797	-0.015004	 0.047668	 0.000000	 0.000000	 0.000000
 0.4248	-0.012170	 0.091378	 0.000000	 0.000000	 0.000000
 0.4596	-0.008833	 0.121343	 0.000000	 0.000000	 0.000000
 0.4866	-0.005651	 0.140511	 0.000000	 0.000000	 0.000000
 0.5137	-0.002062	 0.154818	 0.000000	 0.000000	 0.000000
 0.5407	 0.001808	 0.163545	 0.000000	 0.000000	 0.000000
 0.5677	 0.005800	 0.164885	 0.000000	 0.000000	 0.000000
 0.5947	 0.009724	 0.157960	 0.000000	 0.000000	 0.000000
 0.6217	 0.013361	 0.141111	 0.000000	 0.000000	 0.000000
 0.6488	 0.016481	 0.115387	 0.000000	 0.000000	 0.000000
 0.6758	 0.018876	 0.081538	 0.000000	 0.000000	 0.000000
 0.7028	 0.020364	 0.040741	 0.000000	 0.000000	 0.000000
 0.7298	 0.020734	-0.010479	 0.000000	 0.000000	 0.000000
 0.7568	 0.019840	-0.063295	 0.000000	 0.000000	 0.000000
 0.7839	 0.017672	-0.115226	 0.000000	 0.000000	 0.000000
 0.8109	 0.014283	-0.163855	 0.000000	 0.000000	 0.000000
 0.8379	 0.009697	-0.213587	 0.000000	 0.000000	 0.000000
 0.8649	 0.004003	-0.255190	 0.000000	 0.000000	 0.000000
 0.8919	-0.002586	-0.287411	 0.000000	 0.000000	 0.000000
 0.9189	-0.009798	-0.306818	 0.000000	 0.000000	 0.000000
 0.9460	-0.017378	-0.317940	 0.000000	 0.000000	 0.000000
 0.9730	-0.025142	-0.322466	 0.000000	 0.000000	 0.000000
 1.0000	-0.032962	-0.323169	 0.000000	 0.000000	 0.000000


 -------- Mode No.   6  (freq = 0.83899E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	 0.000006	 0.003707	 0.000000
 0.0104	 0.000000	 0.000000	 0.000051	 0.010859	 0.000000
 0.0174	 0.000000	 0.000000	 0.000141	 0.017662	 0.000000
 0.0244	 0.000000	 0.000000	 0.000271	 0.024117	 0.000000
 0.0313	 0.000000	 0.000000	 0.000441	 0.030224	 0.000000
 0.0383	 0.000000	 0.000000	 0.000648	 0.035982	 0.000000
 0.0453	 0.000000	 0.000000	 0.000889	 0.041393	 0.000000
 0.0522	 0.000000	 0.000000	 0.001164	 0.046458	 0.000000
 0.0592	 0.000000	 0.000000	 0.001468	 0.051177	 0.000000
 0.0662	 0.000000	 0.000000	 0.001802	 0.055551	 0.000000
 0.0731	 0.000000	 0.000000	 0.002161	 0.059583	 0.000000
 0.0801	 0.000000	 0.000000	 0.002544	 0.063273	 0.000000
 0.0870	 0.000000	 0.000000	 0.002950	 0.066626	 0.000000
 0.0940	 0.000000	 0.000000	 0.003375	 0.069642	 0.000000
 0.1010	 0.000000	 0.000000	 0.003818	 0.072326	 0.000000
 0.1079	 0.000000	 0.000000	 0.004278	 0.074877	 0.000000
 0.1149	 0.000000	 0.000000	 0.004752	 0.077079	 0.000000
 0.1219	 0.000000	 0.000000	 0.005239	 0.078935	 0.000000
 0.1288	 0.000000	 0.000000	 0.005737	 0.080449	 0.000000
 0.1358	 0.000000	 0.000000	 0.006243	 0.081626	 0.000000
 0.1399	 0.000000	 0.000000	 0.006544	 0.082164	 0.000000
 0.1497	 0.000000	 0.000000	 0.007271	 0.082988	 0.000000
 0.1567	 0.000000	 0.000000	 0.007790	 0.083183	 0.000000
 0.1636	 0.000000	 0.000000	 0.008309	 0.083065	 0.000000
 0.1706	 0.000000	 0.000000	 0.008826	 0.082638	 0.000000
 0.1776	 0.000000	 0.000000	 0.009339	 0.081912	 0.000000
 0.1845	 0.000000	 0.000000	 0.009848	 0.080893	 0.000000
 0.1915	 0.000000	 0.000000	 0.010348	 0.079592	 0.000000
 0.1985	 0.000000	 0.000000	 0.010840	 0.078016	 0.000000
