Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 23-Apr-2024 at 12:57:09.
IEA15 tower                                                                                        
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24429E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.1399	-0.008036	-0.115831	 0.000000	 0.000000	 0.000603
 0.1497	-0.009079	-0.121192	 0.000000	 0.000000	 0.000645
 0.1567	-0.009847	-0.124741	 0.000000	 0.000000	 0.000675
 0.1636	-0.010636	-0.128080	 0.000000	 0.000000	 0.000705
 0.1706	-0.011445	-0.131211	 0.000000	 0.000000	 0.000735
 0.1776	-0.012273	-0.134134	 0.000000	 0.000000	 0.000765
 0.1845	-0.013119	-0.136852	 0.000000	 0.000000	 0.000795
 0.1915	-0.013981	-0.139366	 0.000000	 0.000000	 0.000825
 0.1985	-0.014858	-0.141676	 0.000000	 0.000000	 0.000855
 0.2054	-0.015749	-0.143953	 0.000000	 0.000000	 0.000885
 0.2124	-0.016654	-0.146031	 0.000000	 0.000000	 0.000915
 0.2194	-0.017571	-0.147909	 0.000000	 0.000000	 0.000945
 0.2263	-0.018499	-0.149586	 0.000000	 0.000000	 0.000975
 0.2333	-0.019438	-0.151060	 0.000000	 0.000000	 0.001005
 0.2403	-0.020384	-0.152331	 0.000000	 0.000000	 0.001035
 0.2472	-0.021338	-0.153398	 0.000000	 0.000000	 0.001065
 0.2507	-0.021818	-0.153854	 0.000000	 0.000000	 0.001080
 0.3203	-0.031478	-0.152336	 0.000000	 0.000000	 0.001380
 0.3797	-0.039151	-0.133838	 0.000000	 0.000000	 0.001636
 0.4248	-0.044063	-0.108281	 0.000000	 0.000000	 0.001830
 0.4596	-0.047048	-0.082537	 0.000000	 0.000000	 0.001980
 0.4866	-0.048767	-0.059219	 0.000000	 0.000000	 0.002096
 0.5137	-0.049888	-0.033264	 0.000000	 0.000000	 0.002213
 0.5407	-0.050334	-0.003582	 0.000000	 0.000000	 0.002329
 0.5677	-0.050037	 0.027986	 0.000000	 0.000000	 0.002446
 0.5947	-0.048957	 0.060937	 0.000000	 0.000000	 0.002562
 0.6217	-0.047043	 0.096685	 0.000000	 0.000000	 0.002678
 0.6488	-0.044280	 0.130883	 0.000000	 0.000000	 0.002795
 0.6758	-0.040719	 0.162512	 0.000000	 0.000000	 0.002911
 0.7028	-0.036433	 0.190460	 0.000000	 0.000000	 0.003028
 0.7298	-0.031497	 0.216021	 0.000000	 0.000000	 0.003144
 0.7568	-0.026033	 0.233886	 0.000000	 0.000000	 0.003260
 0.7839	-0.020239	 0.243185	 0.000000	 0.000000	 0.003377
 0.8109	-0.014332	 0.243116	 0.000000	 0.000000	 0.003493
 0.8379	-0.008563	 0.231412	 0.000000	 0.000000	 0.003610
 0.8649	-0.003228	 0.207346	 0.000000	 0.000000	 0.003726
 0.8919	 0.001368	 0.170256	 0.000000	 0.000000	 0.003842
 0.9189	 0.004980	 0.126197	 0.000000	 0.000000	 0.003959
 0.9460	 0.007384	 0.070573	 0.000000	 0.000000	 0.004075
 0.9730	 0.008301	 0.003299	 0.000000	 0.000000	 0.004191
 1.0000	 0.007447	-0.075676	 0.000000	 0.000000	 0.004308


 -------- Mode No.   6  (freq = 0.34034E+01 Hz)

